element,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,total_points,influence,creativity,threat,ict_index,Gameweek,season,name,team,opponent_team,was_home
1,90,0,0,1,0,1,0,10,49.2,0.0,0.0,4.9,1,2025-26,David Raya Martín,1,14,False
2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Kepa Arrizabalaga Revuelta,1,14,False
3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Karl Hein,1,14,False
4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Tommy Setford,1,14,False
5,90,0,0,1,0,0,0,6,22.8,0.3,4.0,2.7,1,2025-26,Gabriel dos Santos Magalhães,1,14,False
6,90,0,0,1,0,0,0,9,31.4,0.1,0.0,3.2,1,2025-26,William Saliba,1,14,False
7,71,1,0,1,0,1,0,13,36.2,2.1,35.0,7.3,1,2025-26,Riccardo Calafiori,1,14,False
8,19,0,0,0,0,1,0,0,3.0,0.3,0.0,0.3,1,2025-26,Jurriën Timber,1,14,False
9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Jakub Kiwior,1,14,False
10,18,0,0,0,0,1,0,0,0.2,0.0,0.0,0.0,1,2025-26,Myles Lewis-Skelly,1,14,False
11,70,0,0,1,0,0,0,6,15.4,11.3,1.0,2.8,1,2025-26,Benjamin White,1,14,False
12,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Oleksandr Zinchenko,16,5,True
13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Brayden Clarke,1,14,False
14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Maldini Kacurri,1,14,False
15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Josh Nichols,1,14,False
16,90,0,0,1,0,0,0,3,12.0,16.4,7.0,3.5,1,2025-26,Bukayo Saka,1,14,False
17,90,0,0,1,0,0,0,5,17.8,20.3,17.0,5.5,1,2025-26,Martin Ødegaard,1,14,False
18,30,0,0,0,0,0,0,1,1.6,10.7,2.0,1.4,1,2025-26,Noni Madueke,1,14,False
19,59,0,0,0,0,0,0,1,6.2,10.3,21.0,3.8,1,2025-26,Gabriel Martinelli Silva,1,14,False
20,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Leandro Trossard,1,14,False
21,82,0,1,1,0,0,0,6,2.6,1.3,8.0,1.2,1,2025-26,Declan Rice,1,14,False
22,7,0,0,0,0,0,0,1,1.2,0.0,0.0,0.1,1,2025-26,Mikel Merino Zazón,1,14,False
23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Fábio Ferreira Vieira,1,14,False
24,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Christian Nørgaard,1,14,False
25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Ethan Nwaneri,1,14,False
26,90,0,0,1,0,0,0,5,16.0,1.9,2.0,2.0,1,2025-26,Martín Zubimendi Ibáñez,1,14,False
27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Reiss Nelson,5,16,False
28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Ismeal Kabia,1,14,False
29,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Albert Sambi Lokonga,1,14,False
30,30,0,0,0,0,0,0,1,2.8,0.8,2.0,0.6,1,2025-26,Kai Havertz,1,14,False
31,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Gabriel Fernando de Jesus,1,14,False
32,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Emiliano Martínez Romero,2,15,True
33,90,0,0,1,0,0,0,7,19.6,0.0,0.0,2.0,1,2025-26,Marco Bizot,2,15,True
34,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Joe Gauci,2,15,True
35,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Filip Marschall,2,15,True
36,90,0,0,1,0,0,0,8,37.6,1.1,2.0,4.1,1,2025-26,Matty Cash,2,15,True
37,90,0,0,1,0,0,0,6,11.6,5.8,0.0,1.7,1,2025-26,Lucas Digne,2,15,True
38,65,0,0,1,0,0,1,3,1.8,1.1,0.0,0.3,1,2025-26,Ezri Konsa Ngoyo,2,15,True
39,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Ian Maatsen,2,15,True
40,90,0,0,1,0,0,0,6,13.0,3.7,0.0,1.7,1,2025-26,Tyrone Mings,2,15,True
41,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Pau Torres,2,15,True
42,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Andrés García,2,15,True
43,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Álex Moreno Lopera,2,15,True
44,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Lamare Bogarde,2,15,True
45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Lino da Cruz Sousa,2,15,True
46,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Yasin Özcan,2,15,True
47,90,0,0,1,0,0,0,3,7.2,20.1,4.0,3.1,1,2025-26,Morgan Rogers,2,15,True
48,90,0,0,1,0,0,0,3,4.0,1.1,0.0,0.5,1,2025-26,Youri Tielemans,2,15,True
49,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Leon Bailey,2,15,True
50,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Emiliano Buendía Stati,2,15,True
51,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2025-26,Samuel Iling-Junior,2,15,True
